3.2k 2.5d 17.77
3.2k 7.0k 13.72
3.2k 7.6k 13.72
2.5d 7.0k 11.55
2.5d 7.6k 11.55
7.6k 7.0k 16.0
9.0k 20.5k 0
9.0k 3.3k 22.07
9.0k 6.1k 19.91
6.1k 6.7k 16
6.1k 5.8k 16
6.7k 3.3k 17.59
6.7k 20.5k 0.027
3.3k 5.8k 14.4
5.8k 20.5k 0.027
